Imiona,Nazwiska,Pesele,ID kontrolerow,Maile,Lotniska - wczesniejsza praca,Od_kiedy_pracuje,Zarobki ostatniego polrocza
KAROL,DĄBROWSKI,88110869296,CID00000,dąbrowskikarol@gmail.com,1,2020-11-03,60000
ADRIAN,WALCZAK,92040175095,CID00001,walczakadrian@gmail.com,1,2018-01-27,61800
HENRYK,GRABOWSKI,90042927252,CID00002,grabowskihenryk@gmail.com,0,2013-02-25,60774
ALEKSANDER,KRAWCZYK,92112364239,CID00003,krawczykaleksander@gmail.com,2,2019-11-18,66000
KAMIL,SIKORA,91092437979,CID00004,sikorakamil@gmail.com,0,2016-09-21,57288
JERZY,WALCZAK,85061612535,CID00005,walczakjerzy@gmail.com,0,2018-05-22,55620
ANETA,NOWICKA,95041858046,CID00006,nowickaaneta@gmail.com,0,2019-01-10,0
ŁUKASZ,ZIELIŃSKI,82071827292,CID00007,zielińskiłukasz@gmail.com,0,2006-11-14,65718
MAŁGORZATA,OLSZEWSKA,82110698489,CID00008,olszewskamałgorzata@gmail.com,0,2019-01-06,55620
KAMIL,SIKORA,81070648992,CID00009,sikorakamil1@gmail.com,0,2003-09-17,67038
DAMIAN,KRÓL,92072954798,CID00010,króldamian@gmail.com,1,2019-02-17,61800
PATRYK,KOZŁOWSKI,860322343310,CID00011,kozłowskipatryk@gmail.com,1,2015-05-29,63654
KAMIL,OSTROWSKI,90120254511,CID00012,ostrowskikamil@gmail.com,0,2012-06-13,60774
DANIEL,PAWŁOWSKI,85120812652,CID00013,pawłowskidaniel@gmail.com,0,2019-01-27,56160
MAŁGORZATA,WÓJCIK,96120881429,CID00014,wójcikmałgorzata@gmail.com,0,2017-11-29,56172
MARIUSZ,MICHALAK,83072199759,CID00015,michalakmariusz@gmail.com,0,2020-10-15,54000
SŁAWOMIR,SZEWCZYK,94112470956,CID00016,szewczyksławomir@gmail.com,0,2019-09-02,55620
BARTOSZ,DUDEK,97102511659,CID00017,dudekbartosz@gmail.com,0,2020-11-18,54000
WOJCIECH,KAMIŃSKI,80040440099,CID00018,kamińskiwojciech@gmail.com,0,2018-04-20,55620
JAROSŁAW,DĄBROWSKI,92042095511,CID00019,dąbrowskijarosław@gmail.com,1,2021-06-25,60000
MARCIN,WOJCIECHOWSKI,89081536958,CID00020,wojciechowskimarcin@gmail.com,2,2016-10-14,70014
ARTUR,WOJCIECHOWSKI,94090228174,CID00021,wojciechowskiartur@gmail.com,0,2016-01-13,57840
JAN,KRAWCZYK,90012469692,CID00022,krawczykjan@gmail.com,0,2021-05-26,54000
JACEK,ZAJĄC,84071498412,CID00023,zającjacek@gmail.com,0,2021-06-24,54000
MARIUSZ,KOWALSKI,94072951911,CID00024,kowalskimariusz@gmail.com,0,2019-04-19,55620
JÓZEF,WRÓBEL,80021785315,CID00025,wróbeljózef@gmail.com,0,2012-03-24,60774
PAWEŁ,MALINOWSKI,93040139476,CID00026,malinowskipaweł@gmail.com,0,2021-07-21,54000
JAN,MAZUR,94121873874,CID00027,mazurjan@gmail.com,1,2020-04-12,60000
MACIEJ,SZYMAŃSKI,95112398714,CID00028,szymańskimaciej@gmail.com,0,2016-12-20,0
KAROL,OSTROWSKI,95012691371,CID00029,ostrowskikarol@gmail.com,1,2021-06-17,0
PAWEŁ,SZYMAŃSKI,88090121612,CID00030,szymańskipaweł@gmail.com,1,2015-04-21,63654
PIOTR,WALCZAK,92100929693,CID00031,walczakpiotr@gmail.com,0,2017-02-26,57288
BARTOSZ,NOWAK,97061129755,CID00032,nowakbartosz@gmail.com,0,2021-10-11,54000
PRZEMYSŁAW,KRAWCZYK,830208222910,CID00033,krawczykprzemysław@gmail.com,0,2019-12-24,54000
