0,1,2,3,4
18251625657,18290691758,LUB-GDA,HPI901,2020-03-03 00:36:55
19231285379,19222681975,BRU-GDA,KYE127,2020-03-23 16:10:00
20312665513,20260533335,LON-GDA,CPM454,2020-02-09 08:24:54
19321427768,19312944399,BRU-GDA,RIC709,2019-07-28 19:20:54
18261010283,18251638844,GDA-BRU,VPC312,2019-04-12 00:10:02
20290625372,20241869253,GDA-LON,CFN786,2018-03-10 13:13:36
19260764654,20300693139,LUB-GDA,BJF685,2019-03-14 22:26:47
18261489410,20311559198,GDA-RZY,PKY311,2018-10-16 01:26:55
18262728947,18250853666,GDA-BRU,RIC709,2018-02-28 20:49:30
18261175641,18271290831,GDA-LON,VAU408,2019-03-27 02:55:20
18222330261,20251293026,GDA-POZ,BBS684,2019-03-20 03:02:30
20310799027,20311254963,LON-GDA,OOH181,2018-04-11 20:47:16
19290758221,20280698481,GDA-LUB,AKG739,2018-10-26 20:33:53
20220974240,20280690483,LUB-GDA,FFX619,2020-12-15 07:49:26
19240462116,18240944097,RZY-GDA,LXU103,2020-02-19 22:47:38
20271224349,18241081375,BRU-GDA,LXU103,2020-08-27 06:44:13
20282015664,20280116688,POZ-GDA,TOW837,2019-02-14 17:11:53
19250594740,19302390694,LUB-GDA,QZO798,2019-10-08 11:19:03
18320859723,19221955316,GDA-RZY,RIC709,2020-08-20 10:56:23
18210176303,20220819615,GDA-BRU,RWL118,2018-10-13 00:43:41
20282048185,19233041391,GDA-BRU,VPC312,2020-12-03 06:55:24
19321669537,20273050966,BRU-GDA,EUF281,2020-11-13 11:43:24
18261176468,19261037320,LON-GDA,CZZ946,2020-11-21 03:15:34
19272324653,20290292358,GDA-RZY,PIG739,2018-05-21 22:40:32
20280328380,18272981585,POZ-GDA,KMG893,2020-09-15 15:03:03
18302497547,20250788727,GDA-BRU,YPA105,2019-12-01 20:25:05
18300549451,18260370665,GDA-LUB,FWV523,2019-06-05 14:05:58
19250126286,20240610058,GDA-LON,GBG324,2020-08-30 06:37:36
19272318050,20300562576,LON-GDA,MXV308,2018-06-13 06:27:31
20220215848,18242481990,GDA-RZY,VJD545,2020-08-26 03:10:24
