0,1,2,3,4
7290368063,9321259933,PRA-GDA,HFG527,2008-01-14 09:10:17
8312958451,3242040735,HEL-GDA,HPU698,2005-03-16 13:41:03
9320736343,5211240236,GDA-ATE,FIV246,2007-03-21 19:13:16
3282265369,6320723681,BAR-GDA,QDS141,2006-04-21 14:35:11
5303134254,51282684,GDA-BAR,KIE564,2005-04-23 00:44:08
10210163271,7271251094,HEL-GDA,NLN403,2009-05-24 08:45:14
6302595020,1312210200,BRU-GDA,MKL740,2009-02-09 08:32:56
10220385557,2263052833,GDA-HEL,CIC794,2002-07-04 19:26:04
61098802,5321753545,GDA-PRA,MKL740,2002-02-22 04:08:45
7322743231,61098802,GDA-PRA,DZX548,2001-08-10 10:09:09
1312522060,6242588076,BRU-GDA,GWJ355,2010-03-23 06:30:22
52671922,9282252907,GDA-HEL,DYM883,2010-03-05 05:03:13
5221819291,9232628785,ATE-GDA,GWJ355,2003-10-03 13:46:36
4291645414,1251716425,GDA-BAR,XXH217,2004-02-01 11:15:19
2280210135,2242521844,GDA-PRA,UBS938,2010-07-01 07:10:17
2262179179,10301586095,BRU-GDA,EIN200,2001-05-26 03:53:26
10262454747,1231533422,GDA-ATE,MKL740,2005-07-31 07:07:14
2322192146,10303088298,GDA-ATE,UBS938,2005-01-21 07:09:06
10303088298,2301678256,GDA-BRU,LUX630,2005-06-27 07:50:35
10250716749,8210754155,ATE-GDA,NLN403,2010-06-19 13:23:39
7222434044,10302889678,GDA-BAR,KLT435,2002-06-19 09:53:16
2311398856,50679687,BRU-GDA,UBS938,2002-08-10 20:07:47
6240510871,2322192146,PRA-GDA,KVX424,2001-10-20 05:58:36
3212755401,8300565010,PRA-GDA,NLN403,2002-11-18 10:20:12
3320518268,7320290544,GDA-BAR,QEN520,2003-06-21 12:37:28
52039285,3281061416,GDA-BAR,UTU684,2008-05-19 20:13:48
8250977305,7302433624,GDA-BRU,HFG527,2009-04-08 13:01:05
4282648965,2232413524,GDA-HEL,ELZ356,2007-06-01 03:59:23
1302646158,3291296149,PRA-GDA,IUF249,2009-03-24 19:24:09
1312522060,3271521548,GDA-BRU,UWC700,2000-02-02 11:34:39
4312588973,50744994,GDA-PRA,KLT435,2002-06-01 21:20:01
7283116334,2271721958,GDA-BRU,RSF328,2003-07-09 17:20:19
1231186767,6261565186,PRA-GDA,HKB921,2002-07-11 14:53:34
6251945408,7271251094,GDA-HEL,UTU684,2010-09-05 05:58:13
4312588973,1212023346,BRU-GDA,NZU165,2006-04-28 19:35:15
4232583182,8250926712,BAR-GDA,AID111,2001-07-09 15:57:42
121632236,3210271868,GDA-PRA,RSF328,2007-07-30 07:46:24
8270617117,7221553184,ATE-GDA,KLT435,2002-10-26 00:08:17
2283068643,3292672825,GDA-ATE,NNY344,2009-04-01 03:33:17
8301512837,7270560067,GDA-PRA,GWJ355,2002-07-20 02:02:48
9230396860,10250556471,BRU-GDA,DYM883,2008-03-15 00:22:15
5231644513,3260354379,GDA-ATE,GWJ355,2010-07-02 15:20:47
10291588420,1280639131,PRA-GDA,QDS141,2008-10-30 02:14:42
3252245711,5231644513,HEL-GDA,HKB921,2000-02-14 23:35:39
6221916636,3273043143,GDA-HEL,UBS938,2009-02-25 23:42:55
8270617117,7222168534,BRU-GDA,KLT435,2004-09-23 21:23:15
3210685061,9211642630,HEL-GDA,CIC794,2003-11-05 01:28:16
9320736343,1252266653,BRU-GDA,UWC700,2004-11-07 10:29:00
9290622831,3270671732,BRU-GDA,DXO730,2003-12-10 12:22:32
4311786778,2242559773,HEL-GDA,CIC794,2001-03-03 12:34:47
1312278466,3290774536,PRA-GDA,NJM914,2007-06-03 04:07:57
7251528718,9251923609,HEL-GDA,DZX548,2007-09-16 11:23:38
