0,1,2,3,4
20291866378,20260472414,GDA-LIP,EKY903,2019-10-16 03:44:05
20231631602,20240775072,GDA-HAM,NWT867,2019-01-05 01:03:46
20321167819,19303073316,GDA-MUM,STV488,2020-02-24 09:30:05
19222134343,20242580470,LON-GDA,LAR540,2019-10-05 06:02:47
20250595570,19231632294,MUM-GDA,RAG142,2019-12-24 11:39:09
20241694642,19260780441,GDA-BAR,JCQ526,2019-10-07 02:05:21
19220676344,20230478387,GDA-MUM,NDN983,2020-05-02 10:05:51
19231718109,19251192367,GDA-HAM,XKS472,2020-05-27 04:42:40
19252571138,19240533511,GDA-MUM,KNJ183,2020-05-02 20:39:49
20252171266,20252967036,GDA-LON,YML655,2020-07-07 13:52:20
19322866506,20260154518,MUM-GDA,TTQ308,2020-11-07 05:41:40
19270724257,20292783281,BAR-GDA,DXF164,2019-11-26 12:52:21
19321874188,20280525503,BAR-GDA,MCM612,2019-06-04 14:08:31
20243011979,20220985275,BAR-GDA,AIM486,2020-07-18 04:40:30
20281958588,19280814436,LON-GDA,RVD678,2019-11-02 20:49:04
20240912709,19212418792,GDA-BAR,EKY903,2020-02-29 18:27:29
20241387238,20211640572,LIP-GDA,AUH861,2020-10-02 22:01:23
19270975851,19250925755,GDA-LON,RVD678,2019-06-19 20:48:15
19232652473,20281317750,GDA-HAM,AIM486,2019-12-26 18:03:31
20251340803,20221035207,BAR-GDA,LIB778,2019-06-27 04:51:27
19231218951,20311660953,GDA-LON,ERN414,2019-02-28 05:22:04
19230165988,19252356867,GDA-LIP,QNL815,2019-08-11 00:33:41
20281136904,19292460865,LIP-GDA,HSK788,2020-08-04 09:46:25
20262262545,20260347765,GDA-LIP,NDN983,2019-01-14 23:36:48
19231915827,20283137743,GDA-LON,HSK788,2020-09-17 10:46:56
20272158955,20250534649,GDA-HAM,QBY796,2019-11-29 04:48:54
19241988754,20262855950,MUM-GDA,JAD234,2019-03-16 11:28:41
20230478387,20222871651,LIP-GDA,YRW750,2020-04-12 02:58:05
20271974008,19210225691,GDA-MUM,AUH861,2020-10-30 10:55:53
20310662826,19322810291,GDA-LON,GCX334,2020-09-28 00:35:07
20261725078,20291495330,MUM-GDA,ZUR851,2020-06-01 07:35:24
19293024776,19290135596,HAM-GDA,DXF164,2020-01-25 13:14:06
19321171841,19272873270,GDA-MUM,YML655,2020-10-09 02:44:08
19230134148,20212014765,MUM-GDA,REC975,2019-02-11 22:37:54
20232146062,20290933664,MUM-GDA,HTB948,2019-11-16 14:41:41
19310429012,19290528945,GDA-MUM,QNL815,2019-08-11 02:31:06
20320320792,20280124498,GDA-HAM,PZI201,2020-03-26 03:37:46
19222889205,20310843269,GDA-MUM,NRC326,2020-09-17 15:44:21
20212530717,19222875321,LIP-GDA,OVE909,2020-10-25 15:22:30
19290591857,20261725078,LIP-GDA,RFD502,2019-09-08 09:32:24
20321824530,19301525532,BAR-GDA,NDN983,2019-07-12 02:39:49
19272595000,20301526010,MUM-GDA,MCM612,2019-03-31 07:09:12
20301856157,19302730069,MUM-GDA,HGM984,2019-08-27 11:37:10
19290591857,19241514133,LON-GDA,TTQ308,2020-05-19 16:27:35
20220914884,19302245109,HAM-GDA,ZEZ868,2020-02-09 09:10:57
20242580470,19230439847,GDA-LON,OVE909,2020-01-23 14:33:14
20221035207,20250419689,GDA-BAR,RFD502,2019-08-02 04:15:26
20282885869,20231516888,MUM-GDA,JNS643,2020-07-03 04:45:48
20310759377,20300312904,HAM-GDA,JAD234,2019-08-16 04:32:53
20313011405,20302493201,GDA-MUM,ANB617,2019-06-13 15:38:02
20322780864,20291024255,GDA-LIP,ANB617,2020-04-01 16:14:08
20241039883,19260892672,BAR-GDA,LAR540,2019-10-29 03:32:51
20300464748,20290516021,GDA-BAR,RFD502,2020-09-02 02:40:56
20212135790,19271340908,LIP-GDA,HSK788,2020-10-15 16:16:51
19261223518,20291189453,MUM-GDA,HQI458,2019-03-13 06:36:17
19212259111,19262659893,GDA-LIP,ZUR851,2019-10-27 14:48:50
19241216455,20210945074,GDA-BAR,JDC510,2020-12-30 02:23:42
19210962521,20322449075,LON-GDA,BXI369,2019-01-31 12:18:21
20320425169,20322380224,HAM-GDA,FCV912,2020-03-10 19:19:53
20230478387,19252571138,GDA-MUM,TTD963,2019-09-02 11:34:51
20302257063,19212132678,GDA-MUM,WVS170,2019-09-24 03:51:28
20301856157,20310721356,LIP-GDA,AIM486,2020-03-07 21:18:48
20211440721,20262262545,GDA-LON,GVO252,2020-05-04 14:12:28
19232735866,20293037853,GDA-MUM,YML655,2020-12-06 12:22:00
20310991085,20230218712,LON-GDA,LIB778,2020-04-22 06:12:47
20242542395,19230283125,GDA-BAR,YRW750,2020-04-17 22:49:10
20322988262,20301384135,GDA-LON,MIR255,2020-03-16 16:28:58
20221259546,19222875321,GDA-LON,TTQ308,2019-07-28 12:12:29
19242721686,19311139310,MUM-GDA,RSH925,2020-09-27 02:56:16
19242769280,19322389463,GDA-BAR,BXI369,2019-09-11 06:16:53
19233074416,19293084682,MUM-GDA,HGM984,2020-07-28 04:17:32
20280613185,19240728173,HAM-GDA,ARF520,2020-10-22 14:26:16
20312127860,20260198590,LIP-GDA,AKC137,2020-09-09 13:22:31
20232343629,20320764215,GDA-LON,KBG981,2020-06-26 16:41:23
20292224371,19282849100,GDA-MUM,ANB617,2020-12-25 11:24:44
19222841250,19212131844,GDA-LIP,OVE909,2019-06-29 06:27:31
20282026965,20240785457,GDA-BAR,YEJ219,2019-10-07 22:32:58
20242134013,20222990707,GDA-LIP,KTG810,2019-01-15 23:59:58
19322074969,19222616474,GDA-LON,DZV355,2019-04-12 10:28:35
20241668593,19322725728,GDA-BAR,ONE857,2020-05-06 18:55:51
19250689831,20261047534,GDA-MUM,ANB617,2019-02-16 13:44:42
19281942101,20301619154,LIP-GDA,QAZ579,2019-03-25 10:08:36
20281136904,19251456704,GDA-HAM,NDN983,2019-03-25 18:56:21
20291971014,20282853875,GDA-LON,TAE251,2020-09-09 07:02:48
20322880168,20280328267,GDA-MUM,YRW750,2019-11-06 11:26:10
19311736463,20252736551,MUM-GDA,DYK935,2020-01-03 12:21:57
20312111755,20310184898,GDA-BAR,BII592,2020-01-06 18:35:38
20280779766,19211822767,LIP-GDA,LIB778,2020-09-09 19:41:19
19240974505,19300263143,LIP-GDA,KBG981,2020-09-21 05:59:28
20292127087,19222768225,GDA-LIP,UCS230,2020-01-11 04:10:13
20212057999,20311730876,GDA-BAR,MWT732,2020-10-01 17:12:21
19211859695,19321552585,LIP-GDA,KNJ183,2019-07-25 07:19:23
19232870723,20301784386,GDA-HAM,OWE212,2020-09-04 11:29:12
19302921276,19320346507,LON-GDA,TLQ285,2019-12-02 17:16:12
19251362065,19262248310,MUM-GDA,OWE212,2020-04-12 13:07:44
20252896747,19312412478,BAR-GDA,OWE212,2020-08-29 00:25:51
20280369833,20231655305,GDA-LIP,MRO181,2019-02-22 11:25:27
19291526201,19272955679,GDA-MUM,ZUR851,2019-03-12 23:14:38
20271225067,19280839512,HAM-GDA,NWU782,2020-04-17 18:41:48
20320830226,20232318779,GDA-LIP,REC975,2019-10-22 18:37:29
19231889023,19292339196,GDA-MUM,UTP385,2020-08-17 01:31:55
20320937503,20222390354,GDA-MUM,ZEZ868,2020-05-01 00:41:41
19311557817,19262482327,GDA-BAR,HSK788,2019-10-05 09:10:03
19260417217,20272256288,GDA-BAR,REC975,2020-10-28 03:40:38
20252736551,19302793534,GDA-MUM,HTB948,2019-08-27 10:36:56
19242518310,19281234088,GDA-HAM,ESG802,2019-11-15 17:59:24
19300966756,20292344374,GDA-LON,EKY903,2020-01-05 06:47:17
20300999785,19230317187,GDA-HAM,BXI369,2020-07-29 07:33:28
20280330736,20290163933,GDA-LON,WVS170,2020-10-11 05:58:11
20232239267,19272897270,GDA-HAM,MCM612,2019-02-11 04:14:47
20271380555,19262348263,GDA-LIP,DPQ699,2020-09-03 12:15:09
20280124498,19313016527,GDA-MUM,NWU782,2020-09-21 15:34:55
20241387238,19242284262,GDA-HAM,DZV355,2020-05-25 12:51:10
20242635309,19300331835,BAR-GDA,KTG810,2020-10-28 11:56:38
20262640316,19321552585,BAR-GDA,RSH925,2020-02-25 09:09:38
19311585708,19272888421,GDA-LIP,WVS170,2019-02-15 20:40:07
19292424430,20302777651,LON-GDA,UJW275,2020-11-14 14:23:15
19321025652,19292289453,MUM-GDA,MWT732,2020-05-29 05:40:24
20260951764,20273167208,GDA-LON,WBM558,2020-09-03 01:50:24
19262522845,20242346456,GDA-LON,TAE251,2020-06-04 15:33:38
20321238313,20320266199,LIP-GDA,ERN414,2019-09-21 10:30:26
19232256714,19260751979,GDA-BAR,HQI458,2020-03-23 03:26:47
20260476234,19250786026,GDA-MUM,PDX826,2019-12-06 08:27:25
19232231904,20290530939,GDA-HAM,AUH861,2020-05-06 15:08:57
19211837925,19290715530,GDA-BAR,YML655,2020-11-03 21:26:24
19230266627,19281942101,HAM-GDA,NWC730,2019-10-26 09:13:57
20302032822,20221337712,LON-GDA,TTD963,2020-11-03 10:44:38
20262640316,19291117126,LIP-GDA,DPQ699,2020-06-13 00:36:51
